id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
f5,b515e01971943f5f,dc8bee,ba,4a2e8f,e6,1b,358569,160e2c,f594244e6a9c688c,163f7d,d5b6c0,bc7da45d4746b52eb5e2b9,5df242cd3992512a9b3dd6,9a,c9,756a51204e1776,e6a538b031,8becd821931def9a08,470f8785e53a4e4d16,726331,95371339b57bb6be02,1c77809e099e5008e05b,faa973,9c1e6d,c65ba8,0dce17,ef8f,c629,a2,55,95,54,65,7a,2f,f3,18,bc,11,1f,af,39,5f9e488a290c,83
e1,48ee670581811d49,92e58a,4c,c2bfaf,4db0,5f12,010802,5cf972612e,951af0b8cb4d096bdf,9864,009d04,76e3b11c4eb5cc9e46bea9,8ade443fe38332b4a33db2,d0,0a33,5d806372f073,3f50d406b3e8cd7e69,11c165815f9a85a762,9f29daec4dd77f182166,8c191a,db7a7b1f2d0363db5689,20dde32f8fcd56aeac68,a2140d,df9e86,79466a,f721af,7846,c660ba34,85,f0,9953,13,f0,98,c6,7a,5e,80,eb,ee,54,35,15a2f41d2dae,00
10,95f50750d2db32c3,ca0549,cd,92f3c1,b8,2707,435145,c94f582929,0a0a547e9ad3338d2e,df67,14fa59,e20aa15e3866035a30ffcc,7764ec7d3dc256e161a19c,a0,9e,9909ff67c6da9da6d262,566823e546d75b383079,8685e68307afe8168eadd3,aaf5b1620d667fcc0552eb,c2bf52,1467ba86f55ca6b767b4,d787e03466bd733b0d0e,7bea2b,d2386f75cbc883df,b44dfc4377bad438,173f5ad915006b16,0203,0a800e,f5,ba,8a,c5,7e,3f,49,b6,33,01,a9,4e,ab,15,55d5a56ca413,eb
74,f233fa9382304351,6b7cb9,5d368c,b38a45,2379,cf5e,6a7cab,c70b9d,441041f93575ae7a74,b03b,2abfca,10daee3e803b82e8e939a3,5ee6b6d22e1f359fee8f,86,26,2c875529455f44593f68,005709f00892f91c88,b1f57c08740e15724aaf,40d47ba3fc57c0a0bd63db,3e1c85,8876c01052d7bb71fd17,7fb20ee49daa819a1156,25510c,6576c4,cef354,831fae,7dc3,abc7,68,3c,63,dc,a6,60,a4,62,1e,72,ad,93,8a,49,85602949735c,d9
b3,f299896e4a548b3a,3f248e,b9,8254ef,57e3,cc,c01c2e,2f48c8,c1aded784d901f7027,4b3338,e701d0,17e70d655d720151b49c68,bab4ff270d3f3486aaf7ee,97,ef,9345111025ee69aa85,e64a995791168d4db4,5da2cee45baacb3b7b109b,7a8c6a43974bd2,6693d9,0bce1264a25ead245253,32967ce42cc796e36d2e,e9a829,e1629481fe1b3c88,6eb564edd9772c19,7a65484a9d1484fd,9654,0f37,21,19,14de,c3,16,af,9c,8271,34,5f,8d,2f,27be,f3,b17586639d4a,d4
23,580d61239151ccfc,438b68,64,060b2e,1eec,5e,8154d0,65dd96,18a5cb5d36b5030e,a53f50,9bff17,72ade798181b6958038b13,575eae7123fadbd988c79c,b1,7a,c30a3b5ce69b317e2c,cd9ab3d8fa5a,98196d7bf5d6e7642e8b98,68c9c642a57304,de4273,dbd4f9fbba63c1a025c5,e8cb4c4ff670f1c70420,8069b4,56cd06fdff7b4f61,4438f1e0d9fb70ad,4860c6e50de9dddf,b91d,2e1c,f0,b0,79d1,e7,1b,f1,ae,09a8,e2,f0,f1,3b,eb31,d6,a13a65c56881,ed
8b,186bb95db2bacb1d,620ffd,78,2df9db,ed5d,a9,16ef1b,71a1a9,0c276dc4a6ae78d4f8,f9cd21,e01aa7,ce8417113aaefebc3e1f77,d138dcc55add041fbd1e,29,c3,fb51e85f9da254aee4,1a4fd0c8e670db4b8b,483b98620dedcc116c5e,cf30289d860d88751aac,7c2845,7ec15514de7bc083129e,90e46bfb296c9212a2d2,fb0796,a6d5e4f84a5913f6,ff0e32573edc29f2,893b20aac03a040a,f649,2977,37,ac,de53,ee,17,f9,d7,34c3,57,df,ec,21,d955,c9,668fd5c0cc4a,83
ea,02fc4cf6846c3c95,ac0aab,45,efd115,70e3,56,c77d2e,83c499,177bcf9f06e6b58f26,e25db7,25e797,9e752845e179c434b197f9,862f63d53a1d9fc1b9c4,8a,02,7cc4dee11be6,40dd40f4c7ef5cb0d0,f24c96f55322771469fadb,6a32bc50ba321af589f9,95dff1,e010904118c1d96e4d,feb979119e403ab9b7,e7fa84,78375004303647c1,df1c9634e968bd75,2666251ccd31a2,5cb8,020b,11,55,e7d7,2f,33,c2,c0,8916,3a,1d,73,15,1012,8a,51c0f64c012c,0c
5c,c711df8669eea8c0,2aa27a,02,6881cc,e5ca,20,f01cb3,61ef17,85ed713ab0ecbcf2fb,239233,4b739e,7f9ba4ef48c4b725ae11dd,5d99c50ec6a33adbadb8d6,9a,f4,b9ec443c1f9f8b8d55,f8cef0f7be47,2356385f73b50e77ba70ea,4d23f0d120ea37ec03ab,109213,6c87352915f887933d,5bd9fddfddb9c41c1160,246114,49d68d6a424bdca3,381e7fcfbad22a0e,fbc21f4c10b5d27e,0544,b482,c2,e0,0640,77,ef,7b,55,ad71,05,7c,f1,23,f4b6,46,dc908df8debc,ef
5337,95804e4eaaad92bc,498779,e0,68c323,f54d,c9,8112ac,ed101e,2fa9963759aeca86f8,40c5d1,38e7da,29938585c679de279c5f76,3e584492340ecceb7d345d,6e,c0,6f69caadce37e041df,d50e6e2e1c9986abe0,2f8e97afc82fd4dd126be1,4750389ff0ab30cc2c,dc51ae,4083ead60e7add4a0498,a5d02996479ddec689,10a7d1,228a7dd9f7d697e5,c1991cbd4c3dd613,8f83fc8adf9090b8,fca0,89bf,92,7a,5c25,81,a6,1b,3c,fbff,b3,f5,44,4d,9a4a,b1,7416c905552c,f9
